Time,Temperature (°C),Light (Lux),Humidity (%RH),During USB (12)
2016-06-10 22:46:48,24.187,7.6,0.00,0
2016-06-10 22:46:58,24.187,7.5,0.00,0
2016-06-10 22:47:08,24.187,7.6,0.00,0
2016-06-10 22:47:18,24.125,7.6,0.00,0
2016-06-10 22:47:28,24.187,7.6,0.00,0
2016-06-10 22:47:38,24.187,7.5,0.00,0
2016-06-10 22:47:48,24.125,7.5,0.00,0
2016-06-10 22:47:58,24.187,7.5,0.00,0
2016-06-10 22:48:08,24.187,7.5,0.00,0
2016-06-10 22:48:18,24.125,7.5,0.00,0
2016-06-10 22:48:28,24.125,7.5,0.00,0
2016-06-10 22:48:38,24.187,7.4,0.00,0
2016-06-10 22:48:48,24.125,7.4,0.00,0
2016-06-10 22:48:58,24.187,7.5,0.00,0
2016-06-10 22:49:08,24.187,7.4,0.00,0
2016-06-10 22:49:18,24.187,7.5,0.00,0
2016-06-10 22:49:28,24.125,7.4,0.00,0
2016-06-10 22:49:38,24.187,7.4,0.00,0
2016-06-10 22:49:48,24.187,7.4,0.00,0
2016-06-10 22:49:58,24.187,7.5,0.00,0
2016-06-10 22:50:08,24.187,7.4,0.00,0
2016-06-10 22:50:18,24.125,7.4,0.00,0
2016-06-10 22:50:28,24.125,7.4,0.00,0
2016-06-10 22:50:38,24.187,7.4,0.00,0
2016-06-10 22:50:48,24.125,7.4,0.00,0
2016-06-10 22:50:58,24.125,7.5,0.00,0
2016-06-10 22:51:08,24.187,7.4,0.00,0
2016-06-10 22:51:18,24.125,7.4,0.00,0
2016-06-10 22:51:28,24.187,7.3,0.00,0
2016-06-10 22:51:38,24.187,7.4,0.00,0
2016-06-10 22:51:48,24.125,7.2,0.00,0
2016-06-10 22:51:58,24.125,7.3,0.00,0
2016-06-10 22:52:08,24.125,7.4,0.00,0
2016-06-10 22:52:18,24.125,7.4,0.00,0
2016-06-10 22:52:28,24.125,7.4,0.00,0
2016-06-10 22:52:38,24.125,7.4,0.00,0
2016-06-10 22:52:48,24.125,7.3,0.00,0
2016-06-10 22:52:58,24.125,7.4,0.00,0
2016-06-10 22:53:08,24.125,7.4,0.00,0
2016-06-10 22:53:18,24.125,7.4,0.00,0
2016-06-10 22:53:28,24.125,7.3,0.00,0
2016-06-10 22:53:38,24.125,7.4,0.00,0
2016-06-10 22:53:48,24.125,7.4,0.00,0
2016-06-10 22:53:58,24.125,7.2,0.00,0
2016-06-10 22:54:08,24.125,7.3,0.00,0
2016-06-10 22:54:18,24.125,7.3,0.00,0
2016-06-10 22:54:28,24.125,7.3,0.00,0
2016-06-10 22:54:38,24.125,7.3,0.00,0
2016-06-10 22:54:48,24.125,7.3,0.00,0
2016-06-10 22:54:58,24.125,7.3,0.00,0
2016-06-10 22:55:08,24.125,7.3,0.00,0
2016-06-10 22:55:18,24.125,7.3,0.00,0
2016-06-10 22:55:28,24.125,7.3,0.00,0
2016-06-10 22:55:38,24.125,7.3,0.00,0
2016-06-10 22:55:48,24.125,7.3,0.00,0
2016-06-10 22:55:58,24.125,7.3,0.00,0
2016-06-10 22:56:08,24.125,7.3,0.00,0
2016-06-10 22:56:18,24.125,7.3,0.00,0
