Time,Temperature (°C),Light (Lux),Humidity (%RH),Rec. Reset (100),During USB (2)
11/6/2016 17:59,19.312,0,0,0,0
11/6/2016 18:00,19.312,0,0,0,0
11/6/2016 18:00,19.312,0,0,0,0
11/6/2016 18:01,19.375,0,0,0,0
11/6/2016 18:01,19.375,0,0,0,0
11/6/2016 18:02,19.375,0,0,0,0
11/6/2016 18:02,19.437,0,0,0,0
11/6/2016 18:03,19.437,0,0,0,0
11/6/2016 18:03,19.5,0,0,0,0
11/6/2016 18:04,19.5,0,0,0,0
11/6/2016 18:04,19.5,0,0,0,0
11/6/2016 18:05,19.562,0,0,0,0
11/6/2016 18:05,19.562,0,0,0,0
11/6/2016 18:06,19.625,0,0,0,0
11/6/2016 18:06,19.625,0,0,0,0
11/6/2016 18:07,19.625,0,0,0,0
11/6/2016 18:07,19.625,0,0,0,0
11/6/2016 18:08,19.687,0,0,0,0
11/6/2016 18:08,19.687,0,0,0,0
11/6/2016 18:09,19.687,0,0,0,0
11/6/2016 18:09,19.75,0,0,0,0
11/6/2016 18:10,19.75,0,0,0,0
11/6/2016 18:10,19.75,0,0,0,0
11/6/2016 18:11,19.812,0,0,0,0
11/6/2016 18:11,19.812,0,0,0,0
11/6/2016 18:12,19.812,0,0,0,0
11/6/2016 18:12,19.875,0,0,0,0
11/6/2016 18:13,19.937,0,0,0,0
11/6/2016 18:13,19.937,0,0,0,0
11/6/2016 18:14,19.937,0,0,0,0
11/6/2016 18:14,20,0,0,0,0
11/6/2016 18:15,20,0,0,0,0
11/6/2016 18:15,20.062,0,0,0,0
11/6/2016 18:16,20.062,0,0,0,0
11/6/2016 18:16,20.062,0,0,0,0
11/6/2016 18:17,20.125,0,0,0,0
11/6/2016 18:17,20.125,0,0,0,0
11/6/2016 18:18,20.187,0,0,0,0
11/6/2016 18:18,20.187,0,0,0,0
11/6/2016 18:19,20.187,0,0,0,0
11/6/2016 18:19,20.187,0,0,0,0
11/6/2016 18:20,20.25,0,0,0,0
11/6/2016 18:20,20.25,0,0,0,0
11/6/2016 18:21,20.312,0,0,0,0
11/6/2016 18:21,20.312,0,0,0,0
11/6/2016 18:22,20.312,0,0,0,0
11/6/2016 18:22,20.312,0,0,0,0
11/6/2016 18:23,20.375,0,0,0,0
11/6/2016 18:23,20.375,0,0,0,0
11/6/2016 18:24,20.437,0,0,0,0
11/6/2016 18:24,20.437,0,0,0,0
11/6/2016 18:25,20.437,0,0,0,0
11/6/2016 18:25,20.437,0,0,0,0
11/6/2016 18:26,20.5,0,0,0,0
11/6/2016 18:26,20.5,0,0,0,0
11/6/2016 18:27,20.5,0,0,0,0
11/6/2016 18:27,20.5,0,0,0,0
11/6/2016 18:28,20.562,0,0,0,0
11/6/2016 18:28,20.562,0,0,0,0
11/6/2016 18:29,20.562,0,0,0,0
11/6/2016 18:29,20.562,0,0,0,0
11/6/2016 18:30,20.625,0,0,0,0
11/6/2016 18:30,20.625,0,0,0,0
11/6/2016 18:31,20.625,0,0,0,0
11/6/2016 18:31,20.625,0,0,0,0
11/6/2016 18:32,20.687,0,0,0,0
11/6/2016 18:32,20.687,0,0,0,0
11/6/2016 18:33,20.687,0,0,0,0
11/6/2016 18:33,20.687,0,0,0,0
11/6/2016 18:34,20.75,0,0,0,0
11/6/2016 18:34,20.75,0,0,0,0
11/6/2016 18:35,20.75,0,0,0,0
11/6/2016 18:35,20.75,0,0,0,0
11/6/2016 18:36,20.812,0,0,0,0
11/6/2016 18:36,20.812,0,0,0,0
11/6/2016 18:37,20.812,0,0,0,0
11/6/2016 18:37,20.812,0,0,0,0
11/6/2016 18:38,20.812,0,0,0,0
11/6/2016 18:38,20.812,0,0,0,0
11/6/2016 18:39,20.875,0,0,0,0
11/6/2016 18:39,20.875,0,0,0,0
11/6/2016 18:40,20.875,0,0,0,0
11/6/2016 18:40,20.937,0,0,0,0
11/6/2016 18:41,20.937,0,0,0,0
11/6/2016 18:41,20.937,0,0,0,0
11/6/2016 18:42,20.937,0,0,0,0
11/6/2016 18:42,21,0,0,0,0
11/6/2016 18:43,21,0,0,0,0
11/6/2016 18:43,21,0,0,0,0
11/6/2016 18:44,21,0,0,0,0
11/6/2016 18:44,21,0,0,0,0
11/6/2016 18:45,21,0,0,0,0
11/6/2016 18:45,21.062,0,0,0,0
11/6/2016 18:46,21.062,0,0,0,0
11/6/2016 18:46,21.125,0,0,0,0
11/6/2016 18:47,21.125,0,0,0,0
11/6/2016 18:47,21.125,0,0,0,0
11/6/2016 18:48,21.125,0,0,0,0
11/6/2016 18:48,21.125,0,0,0,0
11/6/2016 18:49,21.125,0,0,0,0
11/6/2016 18:49,21.187,0,0,0,0
11/6/2016 18:50,21.187,0,0,0,0
11/6/2016 18:50,21.187,0,0,0,0
11/6/2016 18:51,21.187,0,0,0,0
11/6/2016 18:51,21.25,0,0,0,0
11/6/2016 18:52,21.25,0,0,0,0
11/6/2016 18:52,21.25,0,0,0,0
11/6/2016 18:53,21.25,0,0,0,0
11/6/2016 18:53,21.25,0,0,0,0
11/6/2016 18:54,21.312,0,0,0,0
11/6/2016 18:54,21.312,0,0,0,0
11/6/2016 18:55,21.312,0,0,0,0
11/6/2016 18:55,21.312,0,0,0,0
11/6/2016 18:56,21.375,0,0,0,0
11/6/2016 18:56,21.375,0,0,0,0
11/6/2016 18:57,21.375,0,0,0,0
11/6/2016 18:57,21.375,0,0,0,0
11/6/2016 18:58,21.437,0,0,0,0
11/6/2016 18:58,21.437,0,0,0,0
11/6/2016 18:59,21.437,0,0,0,0
11/6/2016 18:59,21.437,0,0,0,0
11/6/2016 19:00,21.5,0,0,0,0
11/6/2016 19:00,21.5,0,0,0,0
11/6/2016 19:01,21.5,0,0,0,0
11/6/2016 19:01,21.5,0,0,0,0
11/6/2016 19:02,21.5,0,0,0,0
11/6/2016 19:02,21.562,0,0,0,0
11/6/2016 19:03,21.562,0,0,0,0
11/6/2016 19:03,21.562,0,0,0,0
11/6/2016 19:04,21.562,0,0,0,0
11/6/2016 19:04,21.562,0,0,0,0
11/6/2016 19:05,21.625,0,0,0,0
11/6/2016 19:05,21.625,0,0,0,0
11/6/2016 19:06,21.625,0,0,0,0
11/6/2016 19:06,21.625,0,0,0,0
11/6/2016 19:07,21.625,0,0,0,0
11/6/2016 19:07,21.687,0,0,0,0
11/6/2016 19:08,21.687,0,0,0,0
11/6/2016 19:08,21.687,0,0,0,0
11/6/2016 19:09,21.687,0,0,0,0
11/6/2016 19:09,21.687,0,0,0,0
11/6/2016 19:10,21.75,0,0,0,0
11/6/2016 19:10,21.75,0,0,0,0
11/6/2016 19:11,21.75,0,0,0,0
11/6/2016 19:11,21.75,0,0,0,0
11/6/2016 19:12,21.75,0,0,0,0
11/6/2016 19:12,21.812,0,0,0,0
11/6/2016 19:13,21.812,0,0,0,0
11/6/2016 19:13,21.812,0,0,0,0
11/6/2016 19:14,21.812,0,0,0,0
11/6/2016 19:14,21.812,0,0,0,0
11/6/2016 19:15,21.875,0,0,0,0
11/6/2016 19:15,21.875,0,0,0,0
11/6/2016 19:16,21.875,0,0,0,0
11/6/2016 19:16,21.875,0,0,0,0
11/6/2016 19:17,21.875,0,0,0,0
11/6/2016 19:17,21.937,0,0,0,0
11/6/2016 19:18,21.937,0,0,0,0
11/6/2016 19:18,21.937,0,0,0,0
11/6/2016 19:19,21.937,0,0,0,0
11/6/2016 19:19,21.937,0,0,0,0
11/6/2016 19:20,21.937,0,0,0,0
11/6/2016 19:20,22,0,0,0,0
11/6/2016 19:21,22,0,0,0,0
11/6/2016 19:21,22,0,0,0,0
